Part 1,
Part 1,
Answer,Count of students
0.5,3
0.51,3
0.52,2
0.54,2
0.49,2
0.01,1
0.57,1
0.52,1
Part 2,
Answer,Count of students
45.12,4
35.58,2
40.21,2
23.48,1
41.42,1
20.4,1
29.69,1
46.43,1
23.51,1
46.48,1
Part 3,
Answer,Count of students
45.67,4
36.13,2
23.9,2
40.39,2
47,2
41.81,1
23.1,1
30.16,1
Part 4,
Answer,Count of students
157,2
135,2
126,2
119.7,1
110,1
110.5,1
119,1
131.6,1
Part 5,
Answer,Count of students
159,2
132,2
122.7,1
111,1
140,1
200,1
145,1
122,1
132.4,1
Part 6,
Answer,Count of students
Dark purple,11
Slight pink/peach,1
Part 7,
Answer,Count of students
Dark purple,4
Light yellow,4
Slight pink/peach,3
Part 8,
Answer,Count of students
Dark purple,2
Light yellow,7
Slight pink/peach,2
Part 9,
Answer,Count of students
6.5,2
5.3,2
"3.8, 4.5",1
4.8,1
5.9,1
6,1
5.7,1
3.8-4.5,1
5.2,1
Part 10,
Answer,Count of students
6.5,2
5.3,2
"3.8, 4.5",1
4.5,1
4.8,1
6,1
5.5,1
3.8-4.5,1
5.2,1
Part 11,
Answer,Count of students
6.5,2
5.3,2
"3.8, 4.5",1
4.5,1
4.8,1
6,1
5.8,1
3.8-4.5,1
4.6,1
Part 12,
Answer,Count of students
5.7,3
1,2
6.1,2
5.5,2
5,1
6,1
Part 13,
Answer,Count of students
5.5,3
1,2
5.7,2
5,1
6.1,1
6,1
6.2,1
Part 14,
Answer,Count of students
5.5,4
1,2
5.7,2
6,2
5,1
Part 15,
Answer,Count of students
0.96,3
6.5,2
"0.67, 0.79",1
0.951,1
1.05,1
0.95,1
0.67,1
0.9,1
Part 16,
Answer,Count of students
6.5,2
0.96,2
"0.67, 0.79",1
0.9,1
0.787,1
1.09,1
0.92,1
0.67,1
0.84,1
Part 17,
Answer,Count of students
6.5,2
0.96,2
"0.67, 0.79",1
0.9,1
0.787,1
1.09,1
0.97,1
0.67,1
0.84,1
Part 18,
Answer,Count of students
0.0036,3
0.0037,2
0.0039,2
0.0038,2
0.0036,1
0.0037,1
Part 19,
Answer,Count of students
0.67,4
0.65,2
0.68,2
0.7,1
0.64,1
Part 20,
Answer,Count of students
82,2
27,2
86,1
78,1
59,1
63,1
81,1
76.47,1
Part 21,
Answer,Count of students
salicylic acid,6
Salicylic acid,3
Salicylic Acid,1
Part 22,
Answer,Count of students
Positive,3
Negative,4
Unclear,3
Part 23,
Answer,Count of students
The sample is significantly contaminated with unreacted salicylic acid,3
All of the salicylic acid has been reacted away.,4
The sample is slightly contaminated with unreacted salicylic acid,3
Part 24,
Answer,Count of students
I have drawn out an equation with structural formulas for the reaction.,10
Part 25,
Answer,Count of students
The number of moles of acetic anhydride was greater than the number of moles that would react completely with the amount of salicylic acid in the reaction mixture. Excess acetic anhydride was therefore left over in the reaction mixture after all the salicylic acid had been converted to product. The acetic anhydride remaining at the end of the reaction was decomposed by adding water to the reaction mixture prior to crystallization.,2
"The number of moles in acetic anhydride is greater, so the number of moles that would react with the amount of salicylic acid in the reaction mixture.",1
"Excess acetic anhydride was used to make sure the reaction was done to completion, if we had not had an excess, the experiment wouldn't be possible. It becomes decomposed when you add water, as to why we use it to form the crystals.",1
We had more acetic anhydride than necessary to completely react with the available salicylic acid,1
Acetic anhydride was added to the reaction in order to complete it. It was decomposed by water at the end of the reaction.,1
This means that there was more acetic anhydride in the reaction causing there to be an excess amount be left over in the reaction,1
It was used to neutralize the salicylic acid.It was evaporated.,1
acetic anhydride was used in excess to ensure all of the salicylic acid reacts to form acetylsalicylic acid (aspirin). Any excess acetic anhydride that did not react was hydrolyzed to form acetic acid,1
it means everything in there broke down leaving nothing remaining for the experiment,1
Part 26,
Answer,Count of students
The sample is most likely pure,4
The sample is most likely impure,6
Part 27,
Answer,Count of students
The sample is still somewhat wet,10
Part 28,
Answer,Count of students
The sample is most likely pure,9
The sample is most likely impure,1
Part 29,
Answer,Count of students
salicylic acid,10
salicylic acid,10
